"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
41,MANATEE,2101,MANATEE SCHOOL OF ARTS/SCIENCES,111,111,100.0%
41,MANATEE,2102,TEAM SUCCESS A SCHOOL OF EXCELLENCE,"1,441","1,386",96.2%
41,MANATEE,2104,MANATEE SCHOOL FOR THE ARTS,"2,051","1,974",96.2%
41,MANATEE,2120,ROWLETT MIDDLE ACADEMY,708,695,98.2%
41,MANATEE,2121,MANATEE CHARTER SCHOOL,619,599,96.8%
41,MANATEE,2122,OASIS MIDDLE SCHOOL,49,45,91.8%
41,MANATEE,2123,IMAGINE CHARTER SCHOOL AT NORTH MANATEE,853,821,96.2%
41,MANATEE,2124,IMAGINE CHARTER AT LAKEWOOD RANCH,456,424,93.0%
41,MANATEE,2131,PALMETTO CHARTER SCHOOL,458,453,98.9%
41,MANATEE,2141,STATE COLLEGE OF FLORIDA COLLEGIATE SCHOOL,485,471,97.1%
41,MANATEE,2161,VISIBLE MEN ACADEMY,49,49,100.0%
41,MANATEE,2171,WILLIAM MONROE ROWLETT ACADEMY FOR ARTS AND COMMUNICATION,917,910,99.2%
41,MANATEE,2181,PARRISH CHARTER ACADEMY,891,873,98.0%
41,MANATEE,2182,LAKEWOOD RANCH PREPARATORY ACADEMY,"1,369","1,226",89.6%
41,MANATEE,2191,BRADENTON BAY HIGH SCHOOL,114,76,66.7%
41,MANATEE,2192,HOLA! ELEMENTARY @ MSA,551,521,94.6%
41,MANATEE,7001,MANATEE VIRTUAL INSTRUCTION PROGRAM,151,96,63.6%
41,MANATEE,7004,MANATEE VIRTUAL SCHOOL ( VIRTUAL FRANCHISE),38,32,84.2%
42,MARION,0032,FORDHAM EARLY LEARNING ACADEMY,215,209,97.2%
42,MARION,0051,HOWARD MIDDLE SCHOOL,917,845,92.1%
42,MARION,0071,ANTHONY ELEMENTARY SCHOOL,351,326,92.9%
42,MARION,0091,BELLEVIEW ELEMENTARY SCHOOL,681,641,94.1%
42,MARION,0101,BELLEVIEW-SANTOS ELEMENTARY SCHOOL,663,626,94.4%
42,MARION,0162,REDDICK-COLLIER ELEMENTARY SCHOOL,343,326,95.0%
42,MARION,0172,DUNNELLON MIDDLE SCHOOL,712,668,93.8%
42,MARION,0181,EAST MARION ELEMENTARY SCHOOL,631,585,92.7%
42,MARION,0191,EIGHTH STREET ELEMENTARY SCHOOL,381,368,96.6%
42,MARION,0211,FESSENDEN ELEMENTARY SCHOOL,430,410,95.3%
42,MARION,0221,FORT KING MIDDLE SCHOOL,918,812,88.5%
42,MARION,0251,WARD-HIGHLANDS ELEMENTARY SCHOOL,908,871,95.9%
42,MARION,0281,LAKE WEIR MIDDLE SCHOOL,"1,141","1,034",90.6%
42,MARION,0291,MADISON STREET ACADEMY OF VISUAL AND PERFORMING ARTS,467,464,99.4%
42,MARION,0311,DR N H JONES ELEMENTARY SCHOOL,789,771,97.7%
42,MARION,0331,NORTH MARION HIGH SCHOOL,"1,228","1,126",91.7%
42,MARION,0341,OAKCREST ELEMENTARY SCHOOL,631,578,91.6%
42,MARION,0351,FOREST HIGH SCHOOL,"2,387","2,247",94.1%
42,MARION,0361,OSCEOLA MIDDLE SCHOOL,866,829,95.7%
42,MARION,0381,SPARR ELEMENTARY SCHOOL,435,404,92.9%
42,MARION,0391,SOUTH OCALA ELEMENTARY SCHOOL,712,665,93.4%
42,MARION,0401,STANTON-WEIRSDALE ELEMENTARY SCHOOL,588,562,95.6%
42,MARION,0431,WYOMINA PARK ELEMENTARY SCHOOL,502,452,90.0%
42,MARION,0461,VANGUARD HIGH SCHOOL,"1,684","1,577",93.6%
42,MARION,0471,HILLCREST,162,154,95.1%
42,MARION,0491,NORTH MARION MIDDLE SCHOOL,738,685,92.8%
42,MARION,0501,LAKE WEIR HIGH SCHOOL,"1,447","1,317",91.0%
42,MARION,0521,DUNNELLON HIGH SCHOOL,"1,562","1,435",91.9%
42,MARION,0531,FORT MCCOY SCHOOL,931,866,93.0%
42,MARION,0541,OCALA SPRINGS ELEMENTARY SCHOOL,682,634,93.0%
42,MARION,0551,SHADY HILL ELEMENTARY SCHOOL,615,585,95.1%
42,MARION,0561,EMERALD SHORES ELEMENTARY SCHOOL,696,649,93.2%
42,MARION,0571,SUNRISE ELEMENTARY SCHOOL,"1,402","1,296",92.4%
42,MARION,0591,HARBOUR VIEW ELEMENTARY SCHOOL,833,774,92.9%
42,MARION,0611,MAPLEWOOD ELEMENTARY SCHOOL,819,774,94.5%
42,MARION,0621,ROMEO ELEMENTARY SCHOOL,747,696,93.2%
42,MARION,0631,BELLEVIEW MIDDLE SCHOOL,"1,600","1,511",94.4%
42,MARION,0641,DUNNELLON ELEMENTARY SCHOOL,644,616,95.7%
42,MARION,0651,COLLEGE PARK ELEMENTARY SCHOOL,873,796,91.2%
42,MARION,0661,BELLEVIEW HIGH SCHOOL,"1,904","1,800",94.5%
42,MARION,0671,GREENWAY ELEMENTARY SCHOOL,720,688,95.6%
42,MARION,0681,SADDLEWOOD ELEMENTARY SCHOOL,"1,007",930,92.4%
42,MARION,0691,LIBERTY MIDDLE SCHOOL,"1,171","1,095",93.5%
42,MARION,0701,WEST PORT HIGH SCHOOL,"3,022","2,832",93.7%
42,MARION,0711,HAMMETT BOWEN JR. ELEMENTARY SCHOOL,"1,010",954,94.5%
42,MARION,0721,HORIZON ACADEMY AT MARION OAKS,"1,260","1,174",93.2%
42,MARION,0731,MARION OAKS ELEMENTARY SCHOOL,"1,196","1,122",93.8%
42,MARION,0741,LEGACY ELEMENTARY SCHOOL,753,693,92.0%
42,MARION,9346,STUDENT SERVICES/ESE,*,*,*
42,MARION,9401,MARION TECHNICAL INSTITUTE,380,162,42.6%
42,MARION,9645,INA A.COLEN ACADEMY,546,537,98.4%
42,MARION,9670,MARION CHARTER SCHOOL,228,222,97.4%
42,MARION,9680,MCINTOSH AREA SCHOOL,47,43,91.5%
42,MARION,9695,OCALI CHARTER MIDDLE SCHOOL,194,186,95.9%
42,MARION,9696,OCALI CHARTER HIGH SCHOOL,116,106,91.4%
42,MARION,9722,MARION REG. JUVENILE DETENTION CENTER,94,12,12.8%
42,MARION,9733,ELC PK ESE SERVICES,12,10,83.3%
42,MARION,9734,"PACE CENTER FOR GIRLS, INC.",40,31,77.5%
42,MARION,9737,MCSO ADULTS,10,7,70.0%
42,MARION,9738,MARION COUNTY ACCELERATION ACADEMY,304,254,83.6%
43,MARTIN,0021,STUART MIDDLE SCHOOL,777,743,95.6%
43,MARTIN,0025,SEA WIND ELEMENTARY SCHOOL,517,490,94.8%
43,MARTIN,0031,MARTIN COUNTY HIGH SCHOOL,"2,055","1,966",95.7%
43,MARTIN,0051,J. D. PARKER SCHOOL OF TECHNOLOGY,531,511,96.2%
43,MARTIN,0061,PALM CITY ELEMENTARY SCHOOL,575,566,98.4%
43,MARTIN,0070,RIVERBEND ACADEMY,49,18,36.7%
43,MARTIN,0071,ESE HOMEBOUND,*,*,*
43,MARTIN,0073,SPECTRUM ACADEMY,169,122,72.2%
43,MARTIN,0080,PROJECT SEARCH,*,*,*
43,MARTIN,0081,MURRAY MIDDLE SCHOOL,564,540,95.7%
43,MARTIN,0091,MARTIN S.A.I.L.S,*,*,*
43,MARTIN,0101,PORT SALERNO ELEMENTARY SCHOOL,730,706,96.7%
43,MARTIN,0111,HOBE SOUND ELEMENTARY SCHOOL,464,443,95.5%
43,MARTIN,0131,WARFIELD ELEMENTARY SCHOOL,820,799,97.4%
43,MARTIN,0211,JENSEN BEACH ELEMENTARY SCHOOL,611,592,96.9%
43,MARTIN,0221,INDIANTOWN MIDDLE SCHOOL,446,431,96.6%
43,MARTIN,0231,INDIANTOWN HIGH SCHOOL,95,82,86.3%
43,MARTIN,0241,SOUTH FORK HIGH SCHOOL,"1,775","1,704",96.0%
43,MARTIN,0291,PINEWOOD ELEMENTARY SCHOOL,658,636,96.7%
43,MARTIN,0294,WILLOUGHBY LEARNING CENTER,42,28,66.7%
43,MARTIN,0301,CRYSTAL LAKE ELEMENTARY SCHOOL,443,434,98.0%
43,MARTIN,0321,HIDDEN OAKS MIDDLE SCHOOL,920,901,97.9%
43,MARTIN,0331,BESSEY CREEK ELEMENTARY SCHOOL,594,586,98.7%
43,MARTIN,0341,FELIX A WILLIAMS ELEMENTARY SCHOOL,500,485,97.0%
43,MARTIN,0351,JENSEN BEACH HIGH SCHOOL,"1,722","1,634",94.9%
43,MARTIN,0361,DR. DAVID L. ANDERSON MIDDLE SCHOOL,911,893,98.0%
43,MARTIN,0371,CITRUS GROVE ELEMENTARY,596,584,98.0%
43,MARTIN,0400,CLARK ADVANCED LEARNING CENTER,288,271,94.1%
43,MARTIN,0410,THE HOPE CHARTER CENTER FOR AUTISM,97,94,96.9%
43,MARTIN,0421,TREASURE COAST CLASSICAL ACADEMY,"1,082","1,058",97.8%
43,MARTIN,5003,PREKINDERGARTEN PROGRAMS,*,*,*
43,MARTIN,5004,PK EARLY INTERVENTION,262,258,98.5%
43,MARTIN,9063,MARTIN COUNTY JAIL,*,*,*
44,MONROE,0041,CORAL SHORES HIGH SCHOOL,753,732,97.2%
44,MONROE,0101,KEY WEST HIGH SCHOOL,"1,337","1,289",96.4%
44,MONROE,0106,KEYS CENTER,*,*,*
44,MONROE,0111,HORACE O'BRYANT SCHOOL,"1,011",959,94.9%
44,MONROE,0112,LOWER KEYS ACADEMIC CONNECTIONS FOR EXCELLENCE,12,8,66.7%
44,MONROE,0113,UPPER KEYS ACADEMIC CONNECTIONS FOR EXCELLENCE,*,*,*
44,MONROE,0131,MARATHON SCHOOL,809,786,97.2%
44,MONROE,0161,POINCIANA ELEMENTARY SCHOOL,556,544,97.8%
44,MONROE,0201,SUGARLOAF SCHOOL,651,623,95.7%
44,MONROE,0251,STANLEY SWITLIK ELEMENTARY SCHOOL,602,580,96.3%
44,MONROE,0291,KEY LARGO SCHOOL,690,671,97.2%
44,MONROE,0311,GERALD ADAMS ELEMENTARY SCHOOL,674,639,94.8%
44,MONROE,0321,PLANTATION KEY SCHOOL,578,557,96.4%
44,MONROE,0332,THE COLLEGE OF THE FLORIDA KEYS ACADEMY,62,60,96.8%
44,MONROE,0341,SIGSBEE CHARTER SCHOOL,531,508,95.7%
44,MONROE,0351,MAY SANDS MONTESSORI SCHOOL,90,86,95.6%
44,MONROE,0371,TREASURE VILLAGE MONTESSORI CHARTER SCHOOL,179,170,95.0%
44,MONROE,0381,OCEAN STUDIES CHARTER,180,174,96.7%
44,MONROE,0382,SOMERSET ISLAND PREP,88,82,93.2%
44,MONROE,0391,BIG PINE ACADEMY,89,79,88.8%
44,MONROE,7001,MONROE VIRTUAL INSTRUCTION PROGRAM,*,*,*
44,MONROE,7004,MONROE VIRTUAL FRANCHISE,20,17,85.0%
45,NASSAU,0031,FERNANDINA BEACH MIDDLE SCHOOL,721,682,94.6%
45,NASSAU,0053,NASSAU COUNTY COMMUNITY SCHOOL,76,63,82.9%
45,NASSAU,0071,SOUTHSIDE ELEMENTARY SCHOOL,591,569,96.3%
45,NASSAU,0081,EMMA LOVE HARDEE ELEMENTARY,639,630,98.6%
45,NASSAU,0102,YULEE ELEMENTARY SCHOOL,589,570,96.8%
45,NASSAU,0121,CALLAHAN ELEMENTARY SCHOOL,614,602,98.0%
45,NASSAU,0131,CALLAHAN MIDDLE SCHOOL,704,678,96.3%
45,NASSAU,0151,HILLIARD MIDDLE-SENIOR HIGH,773,745,96.4%
45,NASSAU,0181,BRYCEVILLE ELEMENTARY SCHOOL,197,193,98.0%
45,NASSAU,0191,WEST NASSAU COUNTY HIGH SCHOOL,923,892,96.6%
45,NASSAU,0221,YULEE MIDDLE SCHOOL,"1,174","1,141",97.2%
45,NASSAU,0231,YULEE HIGH SCHOOL,"1,486","1,415",95.2%
45,NASSAU,0241,HILLIARD ELEMENTARY SCHOOL,687,673,98.0%
45,NASSAU,0242,WILDLIGHT ELEMENTARY,"1,181","1,149",97.3%
45,NASSAU,0261,CALLAHAN INTERMEDIATE SCHOOL,586,577,98.5%
45,NASSAU,0271,YULEE PRIMARY SCHOOL,582,560,96.2%
45,NASSAU,0291,FERNANDINA BEACH HIGH SCHOOL,978,941,96.2%
45,NASSAU,7004,NASSAU VIRTUAL FRANCHISE,74,60,81.1%
46,OKALOOSA,0031,ANNETTE P. EDWINS ELEMENTARY SCHOOL,490,457,93.3%
46,OKALOOSA,0041,BAKER SCHOOL,"1,434","1,370",95.5%
46,OKALOOSA,0051,BOB SIKES ELEMENTARY SCHOOL,794,744,93.7%
46,OKALOOSA,0082,CLIFFORD MEIGS MIDDLE SCHOOL,612,567,92.6%
46,OKALOOSA,0092,SHOAL RIVER MIDDLE SCHOOL,923,854,92.5%
46,OKALOOSA,0121,C. W. RUCKEL MIDDLE SCHOOL,"1,061","1,042",98.2%
46,OKALOOSA,0131,DESTIN ELEMENTARY SCHOOL,910,885,97.3%
46,OKALOOSA,0151,LULA J. EDGE ELEMENTARY SCHOOL,501,480,95.8%
46,OKALOOSA,0161,EGLIN ELEMENTARY SCHOOL,436,399,91.5%
46,OKALOOSA,0201,LAUREL HILL SCHOOL,432,407,94.2%
46,OKALOOSA,0211,NICEVILLE SENIOR HIGH SCHOOL,"2,036","1,963",96.4%
46,OKALOOSA,0222,NORTHWOOD ELEMENTARY SCHOOL,814,778,95.6%
46,OKALOOSA,0241,SILVER SANDS-EXCEP. CHILDREN,93,88,94.6%
46,OKALOOSA,0251,RIVERSIDE ELEMENTARY SCHOOL,"1,032",979,94.9%
46,OKALOOSA,0271,W. C. PRYOR MIDDLE SCHOOL,721,677,93.9%
46,OKALOOSA,0281,WRIGHT ELEMENTARY SCHOOL,609,578,94.9%
46,OKALOOSA,0431,SHALIMAR ELEMENTARY SCHOOL,557,526,94.4%
46,OKALOOSA,0541,ELLIOTT POINT ELEMENTARY SCHOOL,583,552,94.7%
46,OKALOOSA,0561,MARY ESTHER ELEMENTARY SCHOOL,438,392,89.5%
46,OKALOOSA,0571,JAMES E PLEW ELEMENTARY SCHOOL,762,746,97.9%
46,OKALOOSA,0581,CHOCTAWHATCHEE SENIOR HIGH SCHOOL,"1,720","1,619",94.1%
46,OKALOOSA,0601,CRESTVIEW HIGH SCHOOL,"2,376","2,210",93.0%
46,OKALOOSA,0621,KENWOOD ELEMENTARY SCHOOL,471,448,95.1%
46,OKALOOSA,0631,FLOROSA ELEMENTARY SCHOOL,539,480,89.1%
46,OKALOOSA,0641,FORT WALTON BEACH HIGH SCHOOL,"1,550","1,465",94.5%
46,OKALOOSA,0651,MAX BRUNER JUNIOR MIDDLE SCHOOL,677,626,92.5%
46,OKALOOSA,0671,ADDIE R. LEWIS SCHOOL,653,607,93.0%
46,OKALOOSA,0681,LONGWOOD ELEMENTARY SCHOOL,555,518,93.3%
46,OKALOOSA,0701,OKALOOSA TECHNICAL COLLEGE,42,19,45.2%
46,OKALOOSA,0721,OKALOOSA STEMM CENTER,366,359,98.1%
46,OKALOOSA,0731,WALKER ELEMENTARY SCHOOL,875,830,94.9%
46,OKALOOSA,0741,BLUEWATER ELEMENTARY SCHOOL,885,862,97.4%
46,OKALOOSA,0751,ANTIOCH ELEMENTARY SCHOOL,931,855,91.8%
46,OKALOOSA,0761,DAVIDSON MIDDLE SCHOOL,"1,111","1,047",94.2%
46,OKALOOSA,0771,DESTIN MIDDLE SCHOOL,799,765,95.7%
46,OKALOOSA,0791,EMERALD COAST CAREER INSTITUTE N,27,21,77.8%
46,OKALOOSA,0801,RICHBOURG SCHOOL,68,62,91.2%
46,OKALOOSA,0811,SOUTHSIDE PRIMARY SCHOOL,260,247,95.0%
46,OKALOOSA,7023,OKALOOSA ONLINE NON FRANCHISED,581,360,62.0%
46,OKALOOSA,9700,DESTIN HIGH SCHOOL,599,561,93.7%
46,OKALOOSA,9800,OKALOOSA ACADEMY,115,82,71.3%
46,OKALOOSA,9805,COLLEGIATE HIGH SCHOOL AT NORTHWEST FLORIDA STATE COLLEGE,463,452,97.6%
46,OKALOOSA,9807,LIZA JACKSON PREPARATORY SCHOOL,977,950,97.2%
46,OKALOOSA,9813,OKALOOSA REGIONAL DETENTION,28,3,10.7%
46,OKALOOSA,9818,NORTHWEST FLORIDA BALLET ACADEMIE,134,126,94.0%
46,OKALOOSA,9819,ADJUDICATED YOUTH FACILITY,*,*,*
47,OKEECHOBEE,0031,CENTRAL ELEMENTARY SCHOOL,571,542,94.9%
47,OKEECHOBEE,0101,OKEECHOBEE HIGH SCHOOL,"1,718","1,582",92.1%
47,OKEECHOBEE,0112,SOUTH ELEMENTARY SCHOOL,475,458,96.4%
47,OKEECHOBEE,0113,OKEECHOBEE ACHIEVEMENT ACADEMY,266,211,79.3%
47,OKEECHOBEE,0121,YEARLING MIDDLE SCHOOL,588,562,95.6%
47,OKEECHOBEE,0161,NORTH ELEMENTARY SCHOOL,528,497,94.1%
47,OKEECHOBEE,0171,EVERGLADES ELEMENTARY SCHOOL,737,706,95.8%
47,OKEECHOBEE,0181,SEMINOLE ELEMENTARY SCHOOL,511,490,95.9%
47,OKEECHOBEE,0201,OSCEOLA MIDDLE SCHOOL,689,646,93.8%
47,OKEECHOBEE,7004,OKEECHOBEE VIRTUAL FRANCHISE,59,48,81.4%
47,OKEECHOBEE,9004,STUDENT SERV./SPECIAL PROGRAMS,*,*,*
48,ORANGE,0011,HOSPITAL HOMEBOUND,105,90,85.7%
48,ORANGE,0031,LA AMISTAD,33,1,3.0%
48,ORANGE,0032,ESTEEM ACADEMY,21,21,100.0%
48,ORANGE,0033,RENAISSANCE CHARTER SCHOOL AT GOLDENROD,"1,129","1,042",92.3%
48,ORANGE,0035,ESE TRANSITION,131,111,84.7%
48,ORANGE,0041,SIMON YOUTH FOUND ACAD AT OUTLET MKTPLCE,21,16,76.2%
48,ORANGE,0042,BETA,50,36,72.0%
48,ORANGE,0053,PASSPORT CHARTER,181,178,98.3%
48,ORANGE,0055,PRINCETON HOUSE CHARTER,117,113,96.6%
48,ORANGE,0056,LAKE EOLA CHARTER,190,176,92.6%
48,ORANGE,0061,HOPE CHARTER,417,413,99.0%
48,ORANGE,0065,UCP DOWNTOWN CHARTER,188,174,92.6%
48,ORANGE,0068,UCP WEST ORANGE CHARTER,312,290,92.9%
48,ORANGE,0070,UCP PINE HILLS CHARTER,204,194,95.1%
48,ORANGE,0072,OAKLAND AVENUE CHARTER,519,508,97.9%
48,ORANGE,0074,WORKFORCE ADVANTAGE ACADEMY CHARTER,279,234,83.9%
48,ORANGE,0080,LEGENDS ACADEMY CHARTER,220,207,94.1%
48,ORANGE,0084,SHEELER HIGH CHARTER,333,228,68.5%
48,ORANGE,0085,CHANCERY HIGH CHARTER,438,324,74.0%
48,ORANGE,0089,ORLANDO SCIENCE MIDDLE HIGH CHARTER,"1,591","1,572",98.8%
48,ORANGE,0090,UCP EAST CHARTER,120,115,95.8%
48,ORANGE,0103,ORLANDO SCIENCE CHARTER SCHOOL K-8,626,603,96.3%
48,ORANGE,0111,WILLIAM R BOONE HIGH,"2,650","2,535",95.7%
48,ORANGE,0114,JUVENILE OFFENDERS PROGRAM,11,8,72.7%
48,ORANGE,0119,LEGACY HIGH CHARTER,215,210,97.7%
48,ORANGE,0120,ALOMA HIGH CHARTER,447,331,74.0%
48,ORANGE,0121,EDGEWATER HIGH,"2,000","1,864",93.2%
48,ORANGE,0122,POSITIVE PATHWAYS TRANSITION CENTER,273,77,28.2%
48,ORANGE,0128,UNIVERSAL EDUCATION CENTER,24,22,91.7%
48,ORANGE,0131,HOWARD MIDDLE,"1,185","1,149",97.0%
48,ORANGE,0133,CORNERSTONE ACADEMY CHARTER,"1,094","1,057",96.6%
48,ORANGE,0141,LAKEVILLE ELEMENTARY,631,596,94.5%
48,ORANGE,0146,CORNERSTONE CHARTER ACADEMY HIGH,615,601,97.7%
48,ORANGE,0149,CENTRAL FLORIDA LEADERSHIP ACADEMY CHARTER,100,89,89.0%
48,ORANGE,0151,MEMORIAL MIDDLE,712,643,90.3%
48,ORANGE,0152,INNOVATIONS MIDDLE CHARTER,132,123,93.2%
48,ORANGE,0155,PINECREST PREPARATORY CHARTER,296,276,93.2%
48,ORANGE,0156,CYPRESS SPRINGS ELEMENTARY,619,599,96.8%
48,ORANGE,0163,ASPIRE ACADEMY CHARTER,100,85,85.0%
48,ORANGE,0172,INNOVATION MONTESSORI OCOEE,919,884,96.2%
48,ORANGE,0177,ACCESS CHARTER,115,106,92.2%
48,ORANGE,0183,UCP TRANSITIONAL LEARNING ACADEMY CHARTER,162,154,95.1%
48,ORANGE,0184,UCP BAILES COMMUNITY ACADEMY,469,443,94.5%
48,ORANGE,0185,RENAISSANCE CHARTER SCHOOL AT CHICKASAW TRAIL,949,879,92.6%
48,ORANGE,0200,ORLANDO SCIENCE ELEMENTARY CHARTER,721,712,98.8%
48,ORANGE,0201,HILLCREST ELEMENTARY,489,481,98.4%
48,ORANGE,0202,SUNSHINE HIGH SCHOOL-GREATER ORLANDO CAMPUS,395,307,77.7%
48,ORANGE,0203,PINECREST CREEK CHARTER,119,110,92.4%
48,ORANGE,0204,RENAISSANCE CHARTER SCHOOL AT HUNTERS CREEK,"1,501","1,445",96.3%
48,ORANGE,0212,OAKSHIRE ELEMENTARY,465,442,95.1%
48,ORANGE,0213,LAWTON CHILES ELEMENTARY,503,478,95.0%
48,ORANGE,0214,ENDEAVOR ELEMENTARY,593,565,95.3%
48,ORANGE,0215,THREE POINTS ELEMENTARY,447,428,95.7%
48,ORANGE,0216,CITRUS ELEMENTARY,506,491,97.0%
48,ORANGE,0217,CAMELOT ELEMENTARY,545,522,95.8%
48,ORANGE,0221,LAKE COMO SCHOOL,928,872,94.0%
48,ORANGE,0222,AVALON ELEMENTARY,553,544,98.4%
48,ORANGE,0231,PINELOCH ELEMENTARY,726,654,90.1%
48,ORANGE,0232,WEST CREEK ELEMENTARY,565,550,97.3%
48,ORANGE,0235,THORNEBROOKE ELEMENTARY,561,538,95.9%
48,ORANGE,0236,EAGLES NEST ELEMENTARY,625,554,88.6%
48,ORANGE,0238,PINECREST ACADEMY AVALON,498,494,99.2%
48,ORANGE,0241,LAKE GEM ELEMENTARY,565,540,95.6%
48,ORANGE,0242,LEGACY MIDDLE,710,687,96.8%
48,ORANGE,0245,FREEDOM MIDDLE,"1,150","1,087",94.5%
48,ORANGE,0251,PRINCETON ELEMENTARY,444,432,97.3%
48,ORANGE,0252,OCOEE HIGH,"2,514","2,424",96.4%
48,ORANGE,0253,WEST OAKS ELEMENTARY,494,469,94.9%
48,ORANGE,0259,EAST LAKE ELEMENTARY,432,418,96.8%
48,ORANGE,0261,RIVERDALE ELEMENTARY,566,537,94.9%
48,ORANGE,0271,ORLO VISTA ELEMENTARY,458,436,95.2%
48,ORANGE,0282,APOPKA MIDDLE,858,831,96.9%
48,ORANGE,0283,PINECREST COLLEGIATE ACADEMY,13,13,100.0%
48,ORANGE,0295,LUMINARY MIDDLE,662,646,97.6%
48,ORANGE,0301,LAKE GEORGE ELEMENTARY,448,422,94.2%
48,ORANGE,0311,KILLARNEY ELEMENTARY,344,313,91.0%
48,ORANGE,0321,ANDOVER ELEMENTARY,629,606,96.3%
48,ORANGE,0322,WHISPERING OAK ELEMENTARY,774,748,96.6%
48,ORANGE,0331,LAUREATE PARK ELEMENTARY,"1,220","1,190",97.5%
48,ORANGE,0342,OCOEE MIDDLE,"1,155","1,112",96.3%
48,ORANGE,0352,LAKEVIEW MIDDLE,786,745,94.8%
48,ORANGE,0361,TILDENVILLE ELEMENTARY,738,706,95.7%
48,ORANGE,0381,HUNTERS CREEK MIDDLE,"1,057","1,024",96.9%
48,ORANGE,0395,VILLAGE,*,*,*
48,ORANGE,0401,PINEWOOD ELEMENTARY,497,469,94.4%
48,ORANGE,0421,LOCKHART ELEMENTARY,452,433,95.8%
48,ORANGE,0431,UNION PARK ELEMENTARY,447,425,95.1%
48,ORANGE,0441,DEVEREUX TREATMENT PROGRAM,30,13,43.3%
48,ORANGE,0461,ZELLWOOD ELEMENTARY,564,540,95.7%
48,ORANGE,0472,HAMLIN ELEMENTARY,549,546,99.5%
48,ORANGE,0482,WATER SPRING MIDDLE SCHOOL,"1,064","1,037",97.5%
48,ORANGE,0510,VISTA POINTE ELEMENTARY,488,449,92.0%
48,ORANGE,0511,DILLARD STREET ELEMENTARY,466,450,96.6%
48,ORANGE,0520,SUMMERLAKE ELEMENTARY,726,721,99.3%
48,ORANGE,0521,LAKE SILVER ELEMENTARY,452,416,92.0%
48,ORANGE,0531,BALDWIN PARK ELEMENTARY,732,712,97.3%
48,ORANGE,0541,DREAM LAKE ELEMENTARY,674,661,98.1%
48,ORANGE,0551,CONWAY ELEMENTARY,426,391,91.8%
48,ORANGE,0561,LAKEMONT ELEMENTARY,629,599,95.2%
48,ORANGE,0571,GLENRIDGE MIDDLE,"1,111","1,056",95.0%
48,ORANGE,0581,COLLEGE PARK MIDDLE,624,575,92.1%
48,ORANGE,0591,SILVER PINES ACADEMY K-12 LEARNING CENTER,69,47,68.1%
48,ORANGE,0601,ORLANDO GIFTED ACADEMY,442,436,98.6%
48,ORANGE,0611,AZALEA PARK ELEMENTARY,470,430,91.5%
48,ORANGE,0621,PINE HILLS ELEMENTARY,671,630,93.9%
48,ORANGE,0631,BLANKNER K-8,824,808,98.1%
48,ORANGE,0641,ROCK LAKE ELEMENTARY,340,310,91.2%
48,ORANGE,0651,LAKE WESTON ELEMENTARY,415,386,93.0%
48,ORANGE,0661,COLONIAL HIGH,"3,239","3,075",94.9%
48,ORANGE,0671,MAYNARD EVANS HIGH,"2,345","2,229",95.1%
48,ORANGE,0681,ENGELWOOD ELEMENTARY,557,535,96.1%
48,ORANGE,0691,OAK RIDGE HIGH,"2,553","2,385",93.4%
48,ORANGE,0701,CATALINA ELEMENTARY,588,547,93.0%
48,ORANGE,0711,CHENEY ELEMENTARY,397,374,94.2%
48,ORANGE,0721,LOCKHART MIDDLE,660,602,91.2%
48,ORANGE,0731,MAITLAND MIDDLE,786,758,96.4%
48,ORANGE,0741,SALLY RIDE ELEMENTARY,399,379,95.0%
48,ORANGE,0751,BROOKSHIRE ELEMENTARY,608,574,94.4%
48,ORANGE,0771,NORTHLAKE PARK COMMUNITY ELEMENTARY,608,592,97.4%
48,ORANGE,0781,DOVER SHORES ELEMENTARY,390,365,93.6%
48,ORANGE,0791,MOLLIE RAY ELEMENTARY,436,397,91.1%
48,ORANGE,0811,TANGELO PARK ELEMENTARY,491,451,91.9%
48,ORANGE,0821,LOVELL ELEMENTARY,655,631,96.3%
48,ORANGE,0831,CHICKASAW ELEMENTARY,551,519,94.2%
48,ORANGE,0841,SPRING LAKE ELEMENTARY,445,427,96.0%
48,ORANGE,0851,LANCASTER ELEMENTARY,646,615,95.2%
48,ORANGE,0861,ROLLING HILLS ELEMENTARY,515,479,93.0%
48,ORANGE,0871,BONNEVILLE ELEMENTARY,375,351,93.6%
48,ORANGE,0881,HIAWASSEE ELEMENTARY,619,583,94.2%
48,ORANGE,0891,MICHAEL MCCOY ELEMENTARY,459,432,94.1%
48,ORANGE,0901,PERSHING SCHOOL,"1,057","1,034",97.8%
48,ORANGE,0911,UNION PARK MIDDLE,660,607,92.0%
48,ORANGE,0921,ROBINSWOOD MIDDLE,985,940,95.4%
48,ORANGE,0931,DR. PHILLIPS HIGH,"2,964","2,788",94.1%
